"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbolER.SYMBOL","symbolER.GENENAME"
"155006",243.027841692435,-8.44713243025264,1.30255915265751,-6.48502788761541,8.87153741358789e-11,1.55299430831075e-08,"TMEM213","transmembrane protein 213"
"3484",9.33846604956608,-7.69601810169126,1.63494102694335,-4.70721449572989,2.51124631856837e-06,6.36117510618237e-05,"IGFBP1","insulin like growth factor binding protein 1"
"2676",196.263433066523,-7.30539889998476,1.14299621511371,-6.39144627373763,1.64324020004702e-10,2.57738938896974e-08,"GFRA3","GDNF family receptor alpha 3"
"100874194",10.8492290255131,-6.7231482877577,1.92205589195512,-3.49789426826652,0.00046894700344876,0.00384371862442157,"CLDN10-AS1","CLDN10 antisense RNA 1"
"2587",9.78828977099121,-6.46034656737668,1.48610906252775,-4.34715508455897,1.3791470709124e-05,0.000240138165828672,"GALR1","galanin receptor 1"
"5375",76.910730443251,-6.39603034735554,1.26041311610844,-5.07455076880148,3.884125221004e-07,1.4648033777447e-05,"PMP2","peripheral myelin protein 2"
"3494",861.837073806232,-6.36841806396248,1.98985733002966,-3.20043953295262,0.0013721815784118,0.00876318958512763,"IGHA2","immunoglobulin heavy constant alpha 2 (A2m marker)"
"149647",5.81076254309526,-6.20243910518568,1.64881049703853,-3.76176590113057,0.000168717926383152,0.00172555225073974,"GARIN4","golgi associated RAB2 interactor family member 4"
"7148",412.799935226153,-6.1914334800518,0.769277961830393,-8.04836975352852,8.39041358087258e-16,9.67661462744634e-13,"TNXB","tenascin XB"
"153201",5.64855515201244,-5.97590562326454,1.57720103072882,-3.78893083813362,0.00015129702379362,0.00158967280198162,"SLC36A2","solute carrier family 36 member 2"
"158434",11.7670750260582,-5.92480387240995,1.42386994967247,-4.16105689552112,3.16778145891813e-05,0.000459035648806718,"LOC158434","uncharacterized LOC158434"
"101929344",29.355386683144,-5.77789418385294,1.54806400202256,-3.73233546953102,0.000189712610984599,0.00189673913868641,"LINC01198","long intergenic non-protein coding RNA 1198"
"195977",325.392583712733,-5.77249134964051,1.51312755236331,-3.81494034698173,0.000136215834771596,0.00146016821024161,"ANTXRL","ANTXR like"
"10216",518.393843982721,-5.7571511958813,0.831765485837539,-6.92160385818869,4.46558558574087e-12,1.34695801529285e-09,"PRG4","proteoglycan 4"
"4653",102.561615817765,-5.75545116431431,1.03870864758129,-5.54096779469036,3.00804540633641e-08,1.86784142334826e-06,"MYOC","myocilin"
"190",70.6088969725166,-5.54623216062262,1.71198888611122,-3.2396426201229,0.00119679597895388,0.00788453695005704,"NR0B1","nuclear receptor subfamily 0 group B member 1"
"13",47.9253171108632,-5.47868618830813,0.938009844248118,-5.840755533541,5.19646118166979e-09,4.4685007863078e-07,"AADAC","arylacetamide deacetylase"
"11005",296.033357966532,-5.47260056897303,1.55569501868721,-3.51778497921215,0.000435164814791211,0.00363831188008378,"SPINK5","serine peptidase inhibitor Kazal type 5"
"2277",28.6251009786489,-5.44732491921949,0.89061629189725,-6.11635444891226,9.57402502608786e-10,1.15158487522379e-07,"VEGFD","vascular endothelial growth factor D"
"7180",28.6858029927877,-5.39330229015419,1.6254896108812,-3.31795555877494,0.000906789108344175,0.00634720002077683,"CRISP2","cysteine rich secretory protein 2"
"5126",35.1021712182515,-5.38734931996158,1.48254659331028,-3.63384823402584,0.000279225145437201,0.00257501796869321,"PCSK2","proprotein convertase subtilisin/kexin type 2"
"101929415",8.20584485994404,-5.30704754902928,1.15749559828374,-4.584939724089,4.54117422159943e-06,0.000101080603441532,"PENK-AS1","PENK antisense RNA 1"
"100507632",60.0788788603653,-5.17765218563953,0.738860616855782,-7.00761695443047,2.42411366452487e-12,7.9211954177791e-10,"LINC00968","long intergenic non-protein coding RNA 968"
"25975",477.311657780405,-5.16133675211516,0.861490949180243,-5.99116770411397,2.08339659414565e-09,2.16122082671003e-07,"EGFL6","EGF like domain multiple 6"
"101928136",3.46835524993169,-5.15938168607752,1.49139410198712,-3.45943549005807,0.000541308925514159,0.00429076167020852,"LINC01484","long intergenic non-protein coding RNA 1484"
"400120",8.13427316115473,-5.15681955606856,1.48078145009152,-3.48249875479589,0.000496757531032733,0.00402788591953175,"SERTM1","serine rich and transmembrane domain containing 1"
"131873",362.829336073013,-5.15243897937804,0.780216877681876,-6.60385480853298,4.0060188598085e-11,8.18145893389641e-09,"COL6A6","collagen type VI alpha 6 chain"
"3736",58.4965519785197,-5.13304326771975,1.01724473596591,-5.04602588367854,4.51094323675417e-07,1.64084514099819e-05,"KCNA1","potassium voltage-gated channel subfamily A member 1"
"5166",4571.02093096534,-5.08518737120206,0.833459352306241,-6.10130218964007,1.0520778547375e-09,1.22718293077367e-07,"PDK4","pyruvate dehydrogenase kinase 4"
